sex,agegrp,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
male,0,060000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.005,0.018,0.081,0.127,0.163,0.201,0.207,0.206,0.203,0.206,0.207,0.186,0.164,0.172,0.193,0.191,0.181,0.136,0.111,0.087,0.068,0.06,0.036,0.036,0.036,0.041,0.041,0.051,0.041,0.043,0.037,0.026,0.018,0.009,0.011,0.003
male,0,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.004,0.004,0.003,0.007,0.01,0.008,0.01,0.007,0.003,0.003,0.005,0.009,0.004,0.012,0.008,0.01,0.009,0.011,0.005,0.009,0.018,0.024,0.021,0.019,0.011,0.004,0.003,0.001,0.0,0.0,0.0,0.0
male,0,040000,0.004,0.0,0.001,0.0,0.002,0.003,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.009,0.0,0.0,0.001,0.0,0.004,0.001,0.009,0.013,0.015,0.012,0.01,0.009,0.005,0.014,0.007,0.028,0.023,0.023,0.021,0.011,0.008,0.004,0.002,0.002,0.005,0.009,0.004,0.004,0.017,0.004,0.002,0.004,0.002,0.003
male,0,020000,0.003,0.002,0.002,0.002,0.003,0.0,0.001,0.0,0.003,0.01,0.006,0.018,0.018,0.026,0.026,0.018,0.029,0.022,0.052,0.031,0.043,0.049,0.052,0.062,0.055,0.051,0.038,0.028,0.048,0.046,0.058,0.047,0.044,0.063,0.075,0.054,0.053,0.057,0.039,0.04,0.036,0.033,0.034,0.032,0.026,0.006,0.014,0.004
male,0,130000,0.005,0.003,0.003,0.003,0.004,0.0,0.0,0.0,0.003,0.002,0.0,0.004,0.011,0.011,0.008,0.01,0.017,0.013,0.025,0.024,0.035,0.025,0.032,0.037,0.041,0.045,0.048,0.036,0.043,0.072,0.077,0.085,0.088,0.073,0.067,0.063,0.07,0.088,0.082,0.076,0.069,0.049,0.037,0.02,0.015,0.007,0.006,0.008
male,0,140000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.001,0.01,0.002,0.005,0.006,0.011,0.013,0.013,0.012,0.009,0.005,0.004,0.004,0.001,0.002,0.002,0.002,0.003,0.003,0.011,0.005,0.006,0.008,0.008,0.005,0.002,0.0,0.006,0.002,0.005,0.002,0.002,0.002
male,0,160000,0.007,0.012,0.009,0.005,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.003,0.005,0.005,0.005,0.007,0.002,0.0,0.004,0.004,0.004,0.002,0.002,0.0,0.0,0.003,0.008,0.009,0.01,0.006,0.012,0.014,0.015,0.01,0.013,0.012,0.005,0.012,0.012,0.014,0.015,0.012,0.011,0.008
male,0,120000,0.156,0.129,0.08,0.073,0.048,0.048,0.028,0.023,0.017,0.017,0.019,0.022,0.035,0.044,0.085,0.092,0.065,0.062,0.105,0.139,0.188,0.226,0.225,0.247,0.293,0.287,0.296,0.303,0.325,0.324,0.324,0.341,0.369,0.403,0.392,0.398,0.405,0.387,0.466,0.483,0.505,0.549,0.508,0.517,0.441,0.382,0.304,0.23
male,0,080000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.009,0.006,0.002,0.001,0.001,0.006,0.002,0.006,0.0,0.0,0.002,0.014,0.013,0.015,0.018,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
male,0,010101,0.793,0.825,0.884,0.907,0.931,0.934,0.953,0.949,0.927,0.921,0.895,0.867,0.769,0.733,0.608,0.551,0.487,0.453,0.328,0.315,0.193,0.171,0.113,0.112,0.054,0.053,0.051,0.051,0.044,0.044,0.037,0.04,0.044,0.046,0.049,0.054,0.055,0.062,0.063,0.073,0.099,0.117,0.186,0.256,0.367,0.48,0.575,0.676
